asset_id,vibration_g,temperature_c,oil_pressure_psi,usage_hours,maintenance_events,days_since_maintenance,failure_within_30d
ASSET-001,3.451,71.6,41.6,1120,9,308,0
ASSET-001,3.548,97.5,48.8,1330,9,333,0
ASSET-001,2.128,96.6,49.1,1126,9,288,0
ASSET-001,3.857,86.3,52.0,1178,9,309,0
ASSET-001,2.491,82.0,52.4,1347,9,304,0
ASSET-001,3.262,96.3,52.0,1384,9,302,0
ASSET-001,6.095,92.0,52.4,1014,9,336,0
ASSET-001,2.476,83.5,47.7,1045,9,299,0
ASSET-001,2.711,91.5,51.8,1291,9,334,1
ASSET-001,3.381,87.6,41.9,1183,9,303,0
ASSET-001,3.416,85.8,49.3,1119,9,338,0
ASSET-001,2.557,85.8,42.5,1047,9,302,0
ASSET-001,3.24,96.4,47.8,984,9,339,0
ASSET-001,2.028,80.3,50.7,977,9,340,0
ASSET-001,3.256,80.8,48.1,944,9,298,0
ASSET-001,3.203,92.1,45.1,1290,9,325,0
ASSET-001,2.883,104.6,47.4,1002,9,322,1
ASSET-001,3.315,92.2,57.4,1117,9,293,0
ASSET-001,2.007,96.2,47.0,1147,9,342,0
ASSET-001,4.048,114.4,51.7,1191,9,286,1
ASSET-001,2.649,84.0,47.6,942,9,340,0
ASSET-001,1.691,84.9,48.9,1066,9,301,0
ASSET-001,2.073,80.7,44.6,1178,9,319,0
ASSET-001,3.62,93.8,47.3,1359,9,340,0
ASSET-001,2.023,77.8,49.9,1059,9,314,0
ASSET-001,3.585,90.7,47.2,923,9,289,0
ASSET-001,2.005,77.0,58.3,1160,9,305,0
ASSET-001,2.074,81.2,52.7,1032,9,305,0
ASSET-001,3.925,90.8,52.1,1200,9,339,0
ASSET-001,2.29,86.6,53.9,907,9,328,0
ASSET-001,2.54,86.6,54.5,1191,9,317,0
ASSET-001,2.818,92.4,49.3,1364,9,340,0
ASSET-001,3.98,81.4,47.8,1363,9,283,1
ASSET-001,2.409,83.6,36.1,1384,9,322,0
ASSET-001,2.53,81.5,48.1,955,9,328,0
ASSET-001,2.076,105.8,65.4,1202,9,299,1
ASSET-001,2.12,86.8,53.6,1019,9,294,0
ASSET-001,2.692,87.1,50.2,1313,9,310,0
ASSET-001,3.14,103.0,48.6,958,9,331,1
ASSET-001,3.81,92.5,45.0,1097,9,296,0
